status	folder	local_filename
moved	general	3. Genetics_MolBio_Engineering_Applications_with_Diagrams.pdf
moved	mathematics	Ass.-II,MA 10501(MATHEMATICS FOR DATA SCIENCE).pdf
moved	general	Assignment 1 MA 10021 (1).pdf
moved	general	Assignment 1_unit 2.pdf
moved	languages	Assignment 2 HU10512 LANGUAGES FOR ENGINEERS.docx
moved	general	Assignment 2 MA 10021.pdf
moved	general	ASSIGNMENT 4 final.docx
moved	electronics	Assignment based on Unit-I DC Circuits_new.pdf
moved	general	Assignment unit 3.pdf
moved	general	Assignment-I,MA- 10509.pdf
moved	general	Assignment.pdf
moved	general	ASSINGMENT 2 UNIT 5.pdf
moved	general	ASSINMENT 1 UNIT 4.pdf
moved	general	Bacteriology.pdf
moved	general	bio lect 1st.pdf
moved	general	Bioinspired Design.pptx
moved	general	Biology for Engineering.pptx
moved	general	Biology Systems.pdf
moved	general	Block_diagram_of_communication_system.pdf
moved	general	Breathing and respiration.pdf
moved	programming	C - Handwritten notes by LUCKY.pdf
moved	general	CARDIOVASCULAR AND RESPIRATORY SYSTEM.pptx
moved	general	Cardiovascular System.pptx
moved	general	Control of Micro-organisms.pptx
moved	general	DNA structure and Function.pdf
moved	general	DNA_Structure_and_Replication.pdf
moved	general	EE Assignment 2 Solved .pdf
moved	electronics	EE10510_L-1_Dr.SKS.pdf
moved	electronics	EE10510_L-3_Unit 2_DrSKS.pdf
moved	electronics	Electrical unit 2.pdf
moved	general	ENZYMES.pptx
moved	general	ET_UNIT_1.pdf
moved	electronics	_karnaugh_maps_1.pdf
moved	electronics	_karnaugh_maps_2.pdf
existing	general	3. Genetics_MolBio_Engineering_Applications_with_Diagrams.pdf
existing	electronics	_karnaugh_maps_1.pdf
existing	electronics	_karnaugh_maps_2.pdf
existing	mathematics	Ass.-II,MA 10501(MATHEMATICS FOR DATA SCIENCE).pdf
existing	general	Assignment 1 MA 10021 (1).pdf
existing	general	Assignment 1_unit 2.pdf
existing	languages	Assignment 2 HU10512 LANGUAGES FOR ENGINEERS.docx
existing	general	Assignment 2 MA 10021.pdf
existing	general	ASSIGNMENT 4 final.docx
existing	electronics	Assignment based on Unit-I DC Circuits_new.pdf
existing	general	Assignment unit 3.pdf
existing	general	Assignment-I,MA- 10509.pdf
existing	general	Assignment.pdf
existing	general	ASSINGMENT 2 UNIT 5.pdf
existing	general	ASSINMENT 1 UNIT 4.pdf
existing	general	Bacteriology.pdf
existing	general	bio lect 1st.pdf
existing	general	Bioinspired Design.pptx
existing	general	Biology for Engineering.pptx
existing	general	Biology Systems.pdf
existing	general	Block_diagram_of_communication_system.pdf
existing	general	Block_diagram_of_communication_system.pdf
existing	general	Breathing and respiration.pdf
existing	programming	C - Handwritten notes by LUCKY.pdf
existing	general	CARDIOVASCULAR AND RESPIRATORY SYSTEM.pptx
existing	general	Cardiovascular System.pptx
existing	general	Control of Micro-organisms.pptx
existing	general	DNA structure and Function.pdf
existing	general	DNA_Structure_and_Replication.pdf
existing	electronics	EE10510_L-1_Dr.SKS.pdf
existing	electronics	EE10510_L-3_Unit 2_DrSKS.pdf
existing	electronics	Electrical unit 2.pdf
existing	general	ENZYMES.pptx
existing	general	ET_UNIT_1.pdf
existing	languages	Linguistics.pdf
